Make,Model,Registration Year,Mileage,Body Type,Category,Colour,Cylinder Layout,Dekra,Drive,Engine Capacity,Features,Finance Price,Fuel Consumption,Fuel Tank Capacity,Fuel Type,Gears,Kilowatts,Maintenance plan,No of Doors,No of Seats,Spare Key,Transmission,Vehicle Service History,Warranty,Price
Hyundai,iX35,2011,230427,Sports Utility Vehicle (SUV),B,Silver,I4,Green,F,1998,[],1848,8.7,55,Petrol,5,122,No,5,5,True,Manual,"Complete, Up To Date",No,81900
Renault,Koleos,2010,172000,Sports Utility Vehicle (SUV),B,Black,I4,Green,FR,2488,[],1285,9.9,65,Petrol,6,126,No,5,5,False,Manual,Partial but Up to Date,No,50900
Ford,Focus,2010,187000,Hatchback,B,White,I4,Green,F,1798,[],1285,7.0,55,Petrol,5,92,No,5,5,False,Manual,Partial but Up to Date,No,59900
Volvo,V60,2012,234218,Station Wagon,B,Blue,I5,Green,F,2400,[],1848,6.9,67,Diesel,6,151,No,5,5,True,Automatic,Partial but Up to Date,No,81900
Jeep,Cherokee,2002,193000,Sports Utility Vehicle (SUV),B,Silver,V6,Green,FR,3700,[],1285,14.6,70,Petrol,4,155,No,5,5,False,Automatic,No record,No,50900
Volvo,S60,2014,251500,Sedan,B,Gold,I4,Green,F,1999,[],1848,8.1,68,Petrol,6,177,No,4,5,True,Automatic,No record,No,81900
BMW,X5,2005,231000,Sports Utility Vehicle (SUV),B,Black,I6,Green,FR,2993,[],1285,10.8,93,Diesel,5,150,No,5,5,True,Automatic,No record,No,50900
Audi,A4,2005,252425,Station Wagon,B,Grey,I4,Green,F,1984,[],1285,7.8,70,Petrol,6,147,No,5,5,False,Manual,Partial but Up to Date,No,50900
Volkswagen,Passat,2011,213000,Sedan,B,Blue,I4,Green,F,1798,[],1285,7.0,70,Petrol,6,118,No,4,5,True,Automatic,Partial,No,50900
Ford,Territory,2006,238729,Sports Utility Vehicle (SUV),B,White,I6,Green,FR,3984,[],2644,15.84,76,Petrol,4,182,No,5,7,False,Automatic,Partial,No,49000
Mercedes-Benz,A Class,2008,340000,Multi Purpose Vehicle,B,Silver,I4,Green,F,1991,[],1248,5.2,54,Diesel,7,80,No,5,5,True,Automatic,Complete but Due,No,49000
Renault,Sandero,2016,123100,Hatchback,B,Grey,I3,Green,F,898,[],2728,5.4,45,Petrol,5,66,No,5,5,True,Manual,Complete but Due,No,49000
Ford,Fiesta,2015,133900,Hatchback,B,Brown,I4,Green,F,1387,[],2274,5.7,42,Petrol,5,71,No,5,5,False,Manual,No record,No,49000
Opel,Corsa,2005,139000,Hatchback,B,Silver,I4,Green,F,1389,[],1343,9.8,46,Petrol,5,66,No,5,4,False,Manual,Partial but Up to Date,No,49000
Volkswagen,Golf 6,2012,100000,Cabriolet,B,Black,I4,Green,F,1398,[],2095,6.3,45,Petrol,7,90,No,2,5,False,Automatic,Partial,No,59000
Subaru,XV,2012,155027,Crossover (SUV),B,Red,H4,Green,R,1998,['Reverse camera'],2001,8.8,60,Petrol,4,110,No,5,5,False,Automatic,Unverified Service History,No,69000
Mercedes-Benz,A Class,2012,151000,Multi Purpose Vehicle,B,Red,I4,Green,F,1991,[],2219,5.8,54,Diesel,7,80,No,5,5,False,Automatic,Partial,No,64000
Volkswagen,Jetta 5,2011,159000,Sedan,B,Silver,I4,Green,F,1390,[],2143,6.2,55,Petrol,6,90,No,4,5,True,Manual,Partial,No,64000
KIA,RIO,2009,160000,Sedan,B,Silver,I4,Green,F,1599,[],1426,7.3,45,Petrol,5,82,No,4,5,True,Automatic,Partial,No,64000
Volkswagen,Polo,2007,164000,Hatchback,B,Blue,I4,Green,F,1598,[],1397,7.0,45,Petrol,5,74,No,5,5,True,Manual,"Complete, Up To Date",No,63000
Toyota,Corolla,2009,198417,Sedan,B,White,I4,Green,F,1598,[],3223,6.9,55,Petrol,5,91,No,4,5,True,Manual,No record,No,69000
Hyundai,i30,2011,164000,Hatchback,B,Grey,I4,Green,F,1591,[],1630,6.2,53,Petrol,5,89,No,5,5,True,Manual,Partial,No,77900
Volvo,Xc60,2012,168000,Sports Utility Vehicle (SUV),B,White,I4,Green,F,1999,[],1630,8.5,70,Petrol,6,177,No,5,5,False,Automatic,Partial,No,69900
BMW,3 Series,2010,172000,Sedan,B,Grey,I4,Green,R,1995,[],1630,7.9,60,Petrol,6,115,No,4,5,True,Manual,Partial,No,80900
Subaru,Forester,2008,185000,Sports Utility Vehicle (SUV),B,Red,I4,Green,FR,2457,[],1630,10.5,60,Petrol,4,169,No,5,5,False,Automatic,Complete but Due,No,69900
Hyundai,i30,2010,200000,Hatchback,B,Silver,I4,Green,F,1591,[],1630,6.2,53,Petrol,5,89,No,5,5,True,Manual,"Complete, Up To Date",No,69900
Peugeot,207,2010,115000,Hatchback,B,Silver,I4,Green,F,1398,[],1230,6.4,50,Petrol,5,54,No,5,5,False,Manual,No record,No,47900
Mercedes-Benz,E Class Sedan,2004,203710,Sedan,B,Silver,V8,Green,R,4966,[],1230,13.59,80,Petrol,7,225,No,4,5,True,Automatic,Complete but Due,No,47900
Mahindra,XUV500,2012,126000,Sports Utility Vehicle (SUV),A,White,I4,Green,R,2179,[],1630,10.2,70,Diesel,6,103,No,5,7,False,Manual,Partial but Up to Date,No,69900
Smart,Fortwo,2014,125169,Coupe,A,Black,I3,Green,F,999,[],1630,4.3,33,Petrol,5,52,No,2,2,False,Manual,"Complete, Up To Date",No,69900
Suzuki,SX4,2009,212000,Hatchback,B,Grey,I4,Green,F,1995,[],1230,8.4,45,Petrol,5,107,No,5,5,True,Manual,Partial,No,47900
Toyota,Aygo,2016,65384,Hatchback,B,Red,I3,Green,F,988,[],1630,4.4,35,Petrol,5,51,No,5,4,False,Manual,Partial,No,69900
KIA,Picanto,2014,88000,Hatchback,B,White,I3,Green,F,998,[],1630,4.9,35,Petrol,5,51,No,5,5,False,Manual,Partial,No,69900
Alfa Romeo,GT,2007,214000,Coupe,B,Red,I4,Green,F,1910,[],1230,6.7,63,Diesel,6,110,No,2,5,False,Manual,No record,No,47900
Dodge,Caliber,2010,237000,Hatchback,B,White,I4,Green,F,2359,[],1230,7.7,51,Petrol,5,125,No,5,5,True,Manual,No record,No,50900
