Make,Model,Registration Year,Mileage,Body Type,Category,Colour,Cylinder Layout,Dekra,Drive,Engine Capacity,Features,Finance Price,Fuel Consumption,Fuel Tank Capacity,Fuel Type,Gears,Kilowatts,Maintenance plan,No of Doors,No of Seats,Spare Key,Transmission,Vehicle Service History,Warranty,Price
Volkswagen,T-ROC,2021,30000,Sports Utility Vehicle (SUV),A,Red,I4,Platinum,FR,1984,"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",9141,7.2,52,Petrol,7,140,No,5,5,True,Automatic,"Complete, Up To Date",2025/01/20,482900
Volvo,Xc60,2019,62000,Sports Utility Vehicle (SUV),A,Blue,I4,Platinum,FR,1969,"['Reverse camera', 'Auto stop-start']",9305,5.2,71,Diesel,8,140,2024/04/03,5,5,False,Automatic,"Complete, Up To Date",2024/04/03,491900
Toyota,Fortuner,2022,43037,Sports Utility Vehicle (SUV),A,White,I4,Green,R,2393,"['CarPlay or Android Auto', 'Reverse camera']",9141,6.8,80,Diesel,6,110,No,5,7,True,Manual,"Complete, Up To Date",2027/02/03,482900
Nissan,Qashqai,2024,15000,Sports Utility Vehicle (SUV),A,Blue,I4,Platinum,F,1332,"['Reverse camera', 'Auto stop-start']",9341,6.1,60,Petrol,6,138,No,5,5,True,Automatic,"Complete, Up To Date",2029/11/09,493900
Lexus,NX,2020,46664,Sports Utility Vehicle (SUV),A,Silver,I4,Green,FR,1998,"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",9141,7.9,60,Petrol,6,175,No,5,5,True,Automatic,"Complete, Up To Date",2027/10/19,495900
Volvo,S90,2021,56000,Sedan,A,White,I4,Gold,F,1969,"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",9341,4.4,55,Diesel,8,140,No,4,5,False,Automatic,Complete but Due,No,529900
Mercedes-Benz,Vito,2019,89762,Bus,A,Silver,I4,Platinum,R,2143,['Auto stop-start'],9305,6.5,57,Diesel,6,100,2024/03/28,5,8,True,Manual,"Complete, Up To Date",No,491900
Toyota,Fortuner,2020,72539,Sports Utility Vehicle (SUV),A,Silver,I4,Platinum,R,2393,"['CarPlay or Android Auto', 'Reverse camera']",9305,7.2,80,Diesel,6,110,No,5,7,False,Automatic,"Complete, Up To Date",No,491900
Toyota,Fortuner,2020,85449,Sports Utility Vehicle (SUV),A,Silver,I4,Platinum,R,2393,"['CarPlay or Android Auto', 'Reverse camera']",9141,7.2,80,Diesel,6,110,No,5,7,True,Automatic,"Complete, Up To Date",No,482900
Volvo,Xc60,2020,98000,Sports Utility Vehicle (SUV),A,Blue,I4,Platinum,FR,1969,"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",9305,5.2,71,Diesel,8,140,No,5,5,False,Automatic,"Complete, Up To Date",No,491900
BMW,2 Series,2019,37857,Cabriolet,A,White,I4,Platinum,R,1997,"['CarPlay or Android Auto', 'Auto stop-start']",8049,6.1,52,Petrol,8,135,No,2,4,True,Automatic,"Complete, Up To Date",No,482000
BMW,2 Series,2017,34764,Cabriolet,A,Charcoal,I6,Platinum,R,2979,"['Reverse camera', 'Auto stop-start']",9323,7.4,52,Petrol,8,250,No,2,4,True,Automatic,Partial but Up to Date,No,492900
Jeep,Srt8,2014,91816,Sports Utility Vehicle (SUV),A,Red,V8,Green,FR,6417,"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",9141,14.05,93,Petrol,8,344,No,5,5,False,Automatic,"Complete, Up To Date",No,482900
Volvo,Xc60,2019,53000,Sports Utility Vehicle (SUV),A,White,I4,Platinum,FR,1969,[],9323,5.2,71,Diesel,8,140,No,5,5,True,Automatic,"Complete, Up To Date",No,492900
Porsche,Cayman,2010,50000,Coupe,A,Silver,B6,Gold,R,3436,[],9305,11.0,64,Petrol,7,235,No,2,2,False,Automatic,"Complete, Up To Date",No,491900
Volkswagen,Tiguan,2021,42000,Sports Utility Vehicle (SUV),A,White,I4,Platinum,F,1395,"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",9123,7.7,58,Petrol,6,110,2024/07/31,5,5,True,Automatic,"Complete, Up To Date",2027/07/31,481900
Toyota,Fortuner,2019,39000,Sports Utility Vehicle (SUV),A,Bronze,I4,Platinum,FR,2755,['Reverse camera'],9305,8.5,80,Diesel,6,130,No,5,7,False,Automatic,Partial but Up to Date,No,491900
Volkswagen,T-ROC,2021,42999,Sports Utility Vehicle (SUV),A,Grey,I4,Platinum,FR,1984,"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",9123,7.2,52,Petrol,7,140,No,5,5,True,Automatic,"Complete, Up To Date",No,481900
Land Rover,Range Rover Evoque,2018,112000,Sports Utility Vehicle (SUV),A,Silver,I4,Green,FR,1999,"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",9105,5.8,57,Diesel,9,177,No,5,5,True,Automatic,Partial but Up to Date,No,480900
Nissan,Terra,2022,20000,Sports Utility Vehicle (SUV),A,White,I4,Platinum,R,2488,"['CarPlay or Android Auto', 'Reverse camera']",9123,8.3,78,Diesel,6,140,No,5,7,True,Manual,"Complete, Up To Date",2028/11/30,481900
Land Rover,Range Rover,2014,84000,Sports Utility Vehicle (SUV),A,Gold,V6,Green,FR,2995,"['Reverse camera', 'Auto stop-start']",9305,10.65,105,Petrol,8,250,No,5,5,True,Automatic,"Complete, Up To Date",No,491900
Land Rover,Discovery Sport,2018,123000,Sports Utility Vehicle (SUV),A,White,I4,Gold,FR,1998,[],9123,7.2,54,Diesel,9,177,No,5,7,False,Automatic,"Complete, Up To Date",No,481900
Mercedes-Benz,C Class,2017,110000,Sedan,A,Black,V6,Green,FR,2996,"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",9305,8.0,66,Petrol,9,270,No,4,5,True,Automatic,"Complete, Up To Date",No,491900
Mercedes-Benz,CLA,2019,19000,Sedan,A,Red,I4,Platinum,F,1595,[],9086,5.3,50,Petrol,7,115,No,4,5,True,Automatic,"Complete, Up To Date",No,479900
Mercedes-Benz,A Class Sedan,2020,54000,Sedan,A,Grey,I4,Platinum,F,1332,"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",7457,5.2,48,Petrol,7,120,No,4,5,True,Automatic,"Complete, Up To Date",No,491000
Jaguar,E-Pace,2018,49297,Sports Utility Vehicle (SUV),A,Red,I4,Green,FR,1998,"['Reverse camera', 'Auto stop-start']",9123,7.7,68,Petrol,9,183,No,5,5,True,Automatic,"Complete, Up To Date",No,481900
BMW,X3,2020,96333,Sports Utility Vehicle (SUV),A,Black,I4,Platinum,FR,1995,"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",9305,5.5,60,Diesel,8,140,No,5,5,True,Automatic,"Complete, Up To Date",No,491900
Volvo,Xc40,2021,54000,Sports Utility Vehicle (SUV),A,Blue,I3,Green,F,1477,"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",9086,6.7,54,Petrol,8,110,No,5,5,True,Automatic,"Complete, Up To Date",2026/01/28,479900
Audi,A3,2022,57000,Hatchback,A,White,I4,Green,F,1395,"['Reverse camera', 'Auto stop-start']",9086,4.9,50,Petrol,7,110,No,5,5,False,Automatic,"Complete, Up To Date",No,479900
Isuzu,MU-X,2021,69000,Sports Utility Vehicle (SUV),A,White,I4,Platinum,FR,2999,"['CarPlay or Android Auto', 'Reverse camera']",9123,7.9,65,Diesel,6,130,No,5,7,True,Automatic,"Complete, Up To Date",2024/10/14,481900
Land Rover,Discovery Sport,2019,90000,Sports Utility Vehicle (SUV),A,Blue,I4,Green,FR,1999,"['Reverse camera', 'Auto stop-start']",9286,5.43,65,Diesel,9,132,No,5,7,False,Automatic,Partial but Up to Date,No,490900
Porsche,Cayman,2011,45900,Coupe,A,White,B6,Gold,R,2893,[],9086,10.1,64,Petrol,7,195,No,2,2,True,Automatic,Partial but Up to Date,No,479900
Audi,Q3,2021,70570,Sports Utility Vehicle (SUV),A,Silver,I4,Platinum,F,1395,"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",9123,5.9,60,Petrol,6,110,2026/06/30,5,5,True,Automatic,"Complete, Up To Date",No,497900
Land Rover,Range Rover,2015,95000,Sports Utility Vehicle (SUV),A,White,V6,Green,FR,2995,"['Reverse camera', 'Auto stop-start']",9086,10.65,105,Petrol,8,250,No,5,5,True,Automatic,Complete but Due,No,479900
Land Rover,Range Rover Evoque,2018,69087,Sports Utility Vehicle (SUV),A,White,I4,Platinum,FR,1999,"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",9268,5.8,57,Diesel,9,177,No,5,5,True,Automatic,"Complete, Up To Date",No,489900
Land Rover,Range Rover,2016,145000,Sports Utility Vehicle (SUV),A,Gold,V6,Gold,FR,2993,"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",9268,7.9,80,Diesel,8,215,No,5,5,True,Automatic,Complete but Due,No,497900
Volvo,Xc60,2019,90000,Sports Utility Vehicle (SUV),A,Grey,I4,Platinum,FR,1969,"['Reverse camera', 'Auto stop-start']",9123,5.2,71,Diesel,8,140,No,5,5,True,Automatic,"Complete, Up To Date",2024/04/01,481900
Jeep,Grand Cherokee,2020,61106,Sports Utility Vehicle (SUV),A,White,V6,Platinum,FR,2988,"['CarPlay or Android Auto', 'Auto stop-start']",9123,7.5,93,Diesel,8,184,No,5,5,True,Automatic,"Complete, Up To Date",No,481900
Land Rover,Range Rover,2015,139274,Sports Utility Vehicle (SUV),A,White,V6,Green,FR,2993,"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",9268,7.9,80,Diesel,8,215,No,5,5,False,Automatic,"Complete, Up To Date",No,489900
BMW,3 Series,2019,80400,Sedan,A,White,I4,Platinum,R,1998,[],9123,6.6,59,Petrol,8,190,No,4,5,False,Automatic,"Complete, Up To Date",2024/08/01,481900
Toyota,Fortuner,2020,56000,Sports Utility Vehicle (SUV),A,White,I4,Platinum,F,2755,"['CarPlay or Android Auto', 'Reverse camera']",9068,8.0,80,Diesel,6,130,No,5,7,False,Automatic,"Complete, Up To Date",No,478900
Audi,Q3,2021,67660,Sports Utility Vehicle (SUV),A,Blue,I4,Platinum,F,1395,[],9105,5.9,60,Petrol,6,110,2026/10/10,5,5,False,Automatic,"Complete, Up To Date",No,480900
Audi,Q5,2019,77000,Sports Utility Vehicle (SUV),A,White,I4,Green,FR,1968,"['CarPlay or Android Auto', 'Auto stop-start']",9068,5.0,65,Diesel,7,140,No,5,5,True,Automatic,"Complete, Up To Date",No,478900
Volvo,Xc60,2019,69500,Sports Utility Vehicle (SUV),A,White,I4,Platinum,FR,1969,"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",9105,5.2,71,Diesel,8,140,No,5,5,True,Automatic,"Complete, Up To Date",2024/01/31,480900
Ford,Everest,2019,76000,Sports Utility Vehicle (SUV),A,White,I4,Platinum,FR,1996,"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",9050,7.6,80,Diesel,10,157,No,5,7,True,Automatic,Partial but Up to Date,No,477900
Mercedes-Benz,GLE,2016,100000,Sports Utility Vehicle (SUV),A,White,V6,Platinum,FR,2996,[],9232,8.7,93,Petrol,7,245,No,5,5,False,Automatic,"Complete, Up To Date",No,487900
Volkswagen,Caddy,2022,20000,Multi Purpose Vehicle,A,Blue,I4,Green,F,1968,"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",9050,5.6,60,Diesel,6,81,No,5,5,True,Manual,"Complete, Up To Date",No,477900
Volvo,Xc60,2019,79500,Sports Utility Vehicle (SUV),A,White,I4,Platinum,FR,1969,"['Reverse camera', 'Auto stop-start']",9050,5.2,71,Diesel,8,140,No,5,5,True,Automatic,"Complete, Up To Date",2024/02/21,477900
Toyota,Fortuner,2020,55000,Sports Utility Vehicle (SUV),A,Silver,I4,Platinum,FR,2393,"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",9214,8.2,80,Diesel,6,110,No,5,7,True,Automatic,"Complete, Up To Date",No,486900
Chery,Tiggo 8 PRO,2023,23000,Sports Utility Vehicle (SUV),A,Purple,I4,Platinum,F,1998,"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",8832,7.0,51,Petrol,7,180,No,5,7,True,Automatic,"Complete, Up To Date",2028/01/12,465900
Toyota,Fortuner,2018,67000,Sports Utility Vehicle (SUV),A,Silver,I4,Green,FR,2393,[],8832,8.2,80,Diesel,6,110,No,5,7,True,Automatic,"Complete, Up To Date",No,465900
Toyota,Fortuner,2021,88000,Sports Utility Vehicle (SUV),A,White,I4,Platinum,R,2393,"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",9050,7.2,80,Diesel,6,110,No,5,7,True,Automatic,"Complete, Up To Date",No,477900
Audi,TTS,2017,77000,Coupe,A,White,I4,Platinum,FR,1984,[],9195,6.8,55,Petrol,7,228,No,2,4,True,Automatic,"Complete, Up To Date",No,485900
Ford,Everest,2021,55500,Sports Utility Vehicle (SUV),A,White,I4,Platinum,R,1996,['Auto stop-start'],9050,7.1,80,Diesel,10,132,No,5,7,True,Automatic,"Complete, Up To Date",2025/01/05,477900
Toyota,Fortuner,2019,71199,Sports Utility Vehicle (SUV),A,White,I4,Green,R,2755,[],8832,8.0,80,Diesel,6,130,No,5,7,True,Automatic,Complete but Due,No,465900
Toyota,Fortuner,2020,46319,Sports Utility Vehicle (SUV),A,White,I4,Platinum,R,2393,['Reverse camera'],9050,7.9,80,Diesel,6,110,No,5,7,True,Automatic,"Complete, Up To Date",2025/01/07,477900
Toyota,Hilux,2019,120000,Single Cab,A,Silver,I4,Platinum,FR,2755,['Reverse camera'],8832,7.62,80,Diesel,6,130,No,2,2,True,Manual,"Complete, Up To Date",No,465900
BMW,X5,2018,103500,Sports Utility Vehicle (SUV),A,Grey,I6,Platinum,FR,2993,"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",12414,6.7,85,Diesel,8,280,No,5,5,False,Automatic,"Complete, Up To Date",No,485000
Jaguar,F-Pace,2016,38000,Sports Utility Vehicle (SUV),A,Silver,I4,Gold,FR,1999,[],6089,5.3,60,Diesel,8,132,No,5,5,True,Automatic,Partial but Up to Date,No,464900
Volkswagen,Tiguan Allspace,2019,72000,Sports Utility Vehicle (SUV),A,White,I4,Platinum,FR,1984,"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",9032,8.1,60,Petrol,7,162,No,5,7,True,Automatic,"Complete, Up To Date",No,476900
Volkswagen,Tiguan Allspace,2020,67991,Sports Utility Vehicle (SUV),A,White,I4,Platinum,F,1395,[],8814,7.1,58,Petrol,6,110,2025/09/29,5,7,True,Automatic,"Complete, Up To Date",No,464900
BMW,X1,2020,51038,Sports Utility Vehicle (SUV),A,Blue,I4,Platinum,F,1995,"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",9032,5.1,61,Diesel,8,110,2025/03/25,5,5,False,Automatic,"Complete, Up To Date",2025/03/25,476900
Volkswagen,Golf 7,2017,75000,Hatchback,A,White,I4,Green,FR,1984,"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",8814,6.73,55,Petrol,7,213,No,5,5,False,Automatic,Partial,No,464900
Volkswagen,T-ROC,2021,47461,Sports Utility Vehicle (SUV),A,Blue,I4,Green,FR,1984,"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",9032,7.2,52,Petrol,7,140,No,5,5,True,Automatic,"Complete, Up To Date",2026/03/26,476900
Mercedes-Benz,ML,2013,88185,Sports Utility Vehicle (SUV),A,White,V8,Green,FR,5461,"['Reverse camera', 'Auto stop-start']",8995,11.8,93,Petrol,7,286,No,5,5,True,Automatic,Partial but Up to Date,No,474900
Volkswagen,T6,2019,99670,Bus,A,White,I4,Platinum,R,1968,[],8795,8.0,80,Diesel,7,103,No,4,8,False,Automatic,"Complete, Up To Date",No,463900
Audi,Q3,2020,58643,Sports Utility Vehicle (SUV),A,Black,I4,Green,F,1395,"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",9014,5.8,60,Petrol,8,110,No,5,5,True,Automatic,Complete but Due,No,475900
Toyota,Fortuner,2020,115000,Sports Utility Vehicle (SUV),A,White,I4,Platinum,R,2755,"['CarPlay or Android Auto', 'Reverse camera']",8795,7.6,80,Diesel,6,150,No,5,7,True,Automatic,"Complete, Up To Date",No,463900
BMW,X5,2015,125000,Sports Utility Vehicle (SUV),A,White,I6,Gold,FR,2993,"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",8548,6.7,85,Diesel,8,280,No,5,5,True,Automatic,Unverified Service History,No,474000
Volvo,S90,2020,62000,Sedan,A,White,I4,Green,FR,1969,"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",9014,4.8,60,Diesel,8,173,2024/12/12,4,5,True,Automatic,"Complete, Up To Date",2024/12/19,475900
Volkswagen,Polo,2022,17000,Hatchback,A,Red,I4,Platinum,F,1998,"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",8977,6.4,45,Petrol,6,147,No,5,5,True,Automatic,"Complete, Up To Date",2025/01/04,473900
Volvo,Xc90,2017,97000,Sports Utility Vehicle (SUV),A,White,I4,Green,FR,1969,"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",8795,5.7,71,Diesel,8,173,No,5,7,True,Automatic,"Complete, Up To Date",2024/09/30,463900
Jaguar,E-Pace,2018,43981,Sports Utility Vehicle (SUV),A,Silver,I4,Green,FR,1998,['Reverse camera'],9497,7.7,68,Petrol,9,183,No,5,5,True,Automatic,"Complete, Up To Date",No,467000
Jaguar,F-Pace,2017,49000,Sports Utility Vehicle (SUV),A,Silver,I4,Platinum,FR,1999,"['Reverse camera', 'Auto stop-start']",8977,5.3,60,Diesel,8,132,No,5,5,True,Automatic,"Complete, Up To Date",No,473900
Land Rover,Range Rover,2016,136000,Sports Utility Vehicle (SUV),A,White,V6,Green,FR,2993,['Reverse camera'],8795,7.9,80,Diesel,8,215,No,5,5,True,Automatic,Complete but Due,No,463900
Mercedes-Benz,GLC,2016,149000,Sports Utility Vehicle (SUV),A,Silver,I4,Green,FR,2143,"['Reverse camera', 'Auto stop-start']",8977,5.0,57,Diesel,9,150,No,5,5,True,Automatic,"Complete, Up To Date",No,473900
Volkswagen,T6,2019,134000,Bus,A,White,I4,Gold,R,1968,[],8995,8.0,80,Diesel,7,103,No,4,8,True,Automatic,"Complete, Up To Date",No,482900
Audi,A3,2021,65000,Sedan,A,Blue,I4,Green,F,1984,[],8941,5.6,50,Petrol,7,140,2026/02/01,4,5,True,Automatic,Unverified Service History,No,471900
BMW,X1,2020,54000,Sports Utility Vehicle (SUV),A,White,I4,Platinum,F,1998,"['Reverse camera', 'Auto stop-start']",8777,6.1,63,Petrol,7,135,No,5,5,True,Automatic,"Complete, Up To Date",No,462900
Jaguar,E-Pace,2019,65000,Sports Utility Vehicle (SUV),A,Silver,I4,Platinum,FR,1999,[],8941,6.2,56,Diesel,9,177,No,5,5,True,Automatic,"Complete, Up To Date",No,530900
BMW,3 Series,2020,66000,Sedan,A,Blue,I4,Platinum,R,1998,"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",8941,5.3,59,Petrol,8,135,2025/01/29,4,5,True,Automatic,"Complete, Up To Date",No,471900
Volkswagen,Polo,2022,25000,Hatchback,A,White,I4,Platinum,F,1998,"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",8777,6.4,45,Petrol,6,147,No,5,5,True,Automatic,"Complete, Up To Date",2025/01/11,462900
Toyota,Fortuner,2021,82000,Sports Utility Vehicle (SUV),A,White,I4,Green,R,2393,"['CarPlay or Android Auto', 'Reverse camera']",8759,7.2,80,Diesel,6,110,No,5,7,False,Automatic,Partial but Up to Date,2024/05/05,477900
BMW,X5,2015,145000,Sports Utility Vehicle (SUV),A,White,I6,Gold,FR,2993,"['Reverse camera', 'Auto stop-start']",8777,6.7,85,Diesel,8,280,No,5,5,False,Automatic,"Complete, Up To Date",No,462900
BMW,3 Series,2020,59000,Sedan,A,Orange,I4,Platinum,R,1998,"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",8941,6.3,59,Petrol,8,115,2025/10/01,4,5,True,Automatic,"Complete, Up To Date",No,471900
Mercedes-Benz,C Class,2020,59000,Sedan,A,Silver,I4,Platinum,R,1595,"['Reverse camera', 'Auto stop-start']",8741,6.5,48,Petrol,9,115,No,4,5,True,Automatic,"Complete, Up To Date",2025/09/29,460900
Jaguar,F-Type,2013,54461,Cabriolet,A,White,V6,Green,R,2995,['Reverse camera'],7340,8.4,70,Petrol,8,250,No,2,2,True,Automatic,"Complete, Up To Date",No,460000
Volkswagen,T6,2017,100637,Bus,A,Beige,I4,Platinum,R,1968,"['CarPlay or Android Auto', 'Reverse camera']",8905,8.1,80,Diesel,7,132,No,5,7,True,Automatic,"Complete, Up To Date",No,469900
Toyota,Quantum,2019,115000,Bus,A,White,I4,Gold,R,2799,[],8741,8.7,65,Diesel,6,130,No,4,11,True,Manual,No record,No,460900
Land Rover,Range Rover,2015,129486,Sports Utility Vehicle (SUV),A,White,V6,Green,FR,2993,['Reverse camera'],8905,7.9,80,Diesel,8,215,No,5,5,True,Automatic,Partial but Up to Date,No,469900
Land Rover,Discovery,2018,117000,Sports Utility Vehicle (SUV),A,White,I4,Platinum,FR,1998,"['CarPlay or Android Auto', 'Auto stop-start']",8723,6.4,77,Diesel,8,177,No,5,5,True,Automatic,"Complete, Up To Date",No,459900
Volvo,Xc40,2019,38000,Sports Utility Vehicle (SUV),A,White,I4,Platinum,FR,1969,"['CarPlay or Android Auto', 'Reverse camera']",11552,7.7,54,Petrol,8,185,No,5,5,True,Automatic,"Complete, Up To Date",No,469000
Audi,A5,2019,34000,Coupe,A,White,I4,Green,F,1968,"['CarPlay or Android Auto', 'Reverse camera']",8905,4.2,54,Diesel,7,140,2024/09/27,2,5,True,Automatic,"Complete, Up To Date",No,469900
BMW,X3,2018,83029,Sports Utility Vehicle (SUV),A,Blue,I4,Platinum,FR,1995,"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",8777,5.5,60,Diesel,8,140,No,5,5,True,Automatic,"Complete, Up To Date",No,462900
BMW,X3,2019,97647,Sports Utility Vehicle (SUV),A,White,I4,Green,FR,1995,"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",8777,5.5,60,Diesel,8,140,2024/04/29,5,5,True,Automatic,"Complete, Up To Date",No,462900
Volkswagen,Tiguan Allspace,2019,43000,Sports Utility Vehicle (SUV),A,White,I4,Platinum,FR,1984,"['CarPlay or Android Auto', 'Auto stop-start']",9610,7.7,60,Petrol,7,132,No,5,7,True,Automatic,"Complete, Up To Date",No,459000
Volkswagen,T-ROC,2021,17000,Sports Utility Vehicle (SUV),A,White,I4,Platinum,FR,1984,"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",8886,7.2,52,Petrol,7,140,2026/12/31,5,5,True,Automatic,"Complete, Up To Date",2024/11/23,468900
Volkswagen,T6,2018,78300,Bus,A,Beige,I4,Gold,R,1968,[],8777,8.0,80,Diesel,7,103,No,4,8,True,Automatic,Partial,No,462900
Land Rover,Range Rover Evoque,2018,64000,Sports Utility Vehicle (SUV),A,Black,I4,Gold,FR,1999,[],8886,5.45,57,Diesel,9,132,No,5,5,True,Automatic,Partial,No,492900
BMW,2 Series Gran Coupe,2021,43000,Coupe,A,Blue,I3,Platinum,F,1499,[],8759,6.7,50,Petrol,7,103,No,5,5,True,Automatic,"Complete, Up To Date",No,461900
Audi,Q5,2019,58000,Sports Utility Vehicle (SUV),A,White,I4,Platinum,FR,1968,['CarPlay or Android Auto'],8704,4.9,65,Diesel,7,140,No,5,5,True,Automatic,"Complete, Up To Date",No,458900
Hyundai,H-1,2018,87390,Bus,A,Silver,I4,Green,R,2497,[],8704,9.8,75,Diesel,5,125,No,5,9,True,Automatic,"Complete, Up To Date",No,458900
Volvo,Xc40,2019,67000,Sports Utility Vehicle (SUV),A,Dark Blue,I4,Platinum,FR,1969,[],8868,7.7,54,Petrol,8,185,No,5,5,True,Automatic,"Complete, Up To Date",2024/01/01,467900
Volkswagen,Touareg,2017,110900,Sports Utility Vehicle (SUV),A,White,V6,Green,FR,2967,"['Reverse camera', 'Auto stop-start']",8704,7.2,100,Diesel,8,180,No,5,5,True,Automatic,Partial,No,458900
Volvo,Xc40,2020,83000,Sports Utility Vehicle (SUV),A,Blue,I3,Platinum,F,1477,"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",8868,6.7,54,Petrol,8,110,2025/03/26,5,5,True,Automatic,"Complete, Up To Date",2025/03/26,467900
Volkswagen,T6,2019,117000,Bus,A,White,I4,Platinum,R,1968,[],8704,8.0,80,Diesel,7,103,No,4,8,False,Automatic,"Complete, Up To Date",No,458900
Land Rover,Discovery,2016,145000,Sports Utility Vehicle (SUV),A,White,V6,Gold,FR,2993,['Reverse camera'],8759,9.1,82,Diesel,6,180,No,5,7,True,Automatic,"Complete, Up To Date",No,461900
Volvo,Xc60,2019,85000,Sports Utility Vehicle (SUV),A,Silver,I4,Platinum,FR,1969,"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",8868,5.2,71,Diesel,8,140,2024/01/28,5,5,False,Automatic,"Complete, Up To Date",2024/01/28,467900
Land Rover,Range Rover Evoque,2019,71000,Sports Utility Vehicle (SUV),A,Bronze,I4,Platinum,FR,1999,"['Reverse camera', 'Auto stop-start']",8759,5.8,57,Diesel,9,177,No,5,5,True,Automatic,Partial but Up to Date,No,477900
Volkswagen,Tiguan Allspace,2019,74000,Sports Utility Vehicle (SUV),A,Blue,I4,Platinum,FR,1984,[],8759,8.1,60,Petrol,7,162,No,5,7,False,Automatic,"Complete, Up To Date",No,461900
Toyota,Fortuner,2019,133000,Sports Utility Vehicle (SUV),A,White,I4,Gold,FR,2755,['Reverse camera'],8868,8.5,80,Diesel,6,130,No,5,7,True,Automatic,Complete but Due,No,467900
Toyota,Fortuner,2017,98000,Sports Utility Vehicle (SUV),A,Silver,I4,Platinum,FR,2755,['Reverse camera'],8868,8.5,80,Diesel,6,130,No,5,7,True,Automatic,"Complete, Up To Date",2025/07/24,467900
BMW,X3,2019,63424,Sports Utility Vehicle (SUV),A,Silver,I4,Platinum,FR,1998,"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",8686,7.6,60,Petrol,8,135,2024/10/28,5,5,True,Automatic,"Complete, Up To Date",No,457900
Jeep,Wrangler,2017,124000,Sports Utility Vehicle (SUV),A,White,V6,Gold,FR,3604,['CarPlay or Android Auto'],7329,11.7,70,Petrol,5,209,No,4,5,False,Automatic,"Complete, Up To Date",No,461000
BMW,1 Series (f40),2020,9365,Hatchback,A,White,I3,Platinum,F,1499,"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",8759,5.9,50,Petrol,7,103,1900/01/01,5,5,True,Automatic,Partial but Up to Date,No,461900
BMW,X6,2017,136000,Sports Utility Vehicle (SUV),A,White,I6,Green,FR,2993,"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",11381,6.2,85,Diesel,8,230,No,5,4,True,Automatic,Partial,No,467000
Jeep,Wrangler,2020,62840,Recreational Vehicle,A,Silver,V6,Green,FR,3604,['CarPlay or Android Auto'],8686,11.15,70,Petrol,5,209,No,2,4,True,Automatic,Partial but Up to Date,No,457900
BMW,3 Series,2019,46000,Sedan,A,White,I4,Platinum,R,1998,"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",8850,5.3,59,Petrol,8,135,2024/10/30,4,5,True,Automatic,"Complete, Up To Date",2024/10/30,466900
