Age,Body Type_Bus,Body Type_Cabriolet,Body Type_Coupe,Body Type_Crossover (SUV),Body Type_Hatchback,Body Type_Multi Purpose Vehicle,Body Type_Other,Body Type_Sedan,Body Type_Sports Utility Vehicle (SUV),Body Type_Station Wagon,Category,Colour_Black,Colour_Blue,Colour_Gold,Colour_Grey,Colour_Other,Colour_Red,Colour_Silver,Colour_White,Cylinder Layout_I,Cylinder Layout_Other,Cylinder Layout_V,Dekra,Drive Front,Drive Rear,Engine Capacity,Feature_Auto stop-start,Feature_CarPlay or Android Auto,Feature_Reverse camera,Finance Price,Fuel Consumption,Fuel Tank Capacity,Fuel Type_Diesel,Fuel Type_Hybrid,Fuel Type_Petrol,Gears,Horsepower,Make Model,Mileage,No of Cylinders,No of Doors,No of Seats,Remaining Maintenance Plan,Remaining Warranty,Spare Key,Transmission,Vehicle Service History,Price
5,False,False,False,False,False,False,False,False,True,False,0,False,False,False,False,False,True,False,False,False,False,True,2,True,True,2993,True,True,True,17288,7.0,86,True,False,False,8,301.72950000000003,80,60000,6,5,5,0,0,False,0,0,930900
5,False,False,False,False,False,False,False,False,True,False,0,False,False,False,False,False,True,False,False,False,False,True,0,True,True,4999,True,True,True,16252,11.9,66,False,False,True,8,543.1131,59,41000,8,5,5,0,0,True,0,0,873900
4,False,False,False,False,False,False,False,False,True,False,0,True,False,False,False,False,False,False,False,False,False,True,2,True,True,2993,True,True,True,17161,7.8,85,True,False,False,8,254.79380000000003,74,82000,6,5,5,495,0,False,0,0,923900
7,False,False,True,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,True,False,False,True,0,False,True,3982,True,False,True,16070,8.9,66,False,False,True,7,502.88250000000005,88,85000,8,2,4,0,0,False,0,0,863900
2,False,False,False,False,False,False,False,False,False,True,0,False,False,False,False,True,False,False,False,False,False,True,2,True,True,4461,False,False,True,17143,11.9,130,True,False,False,5,202.49402,136,2000,8,5,5,0,1071,True,1,0,922900
7,False,False,False,False,False,False,False,False,True,False,0,False,False,False,False,False,False,False,True,False,False,True,1,True,True,4461,False,False,True,16233,10.3,138,True,False,False,6,231.99646,135,166709,8,5,7,0,0,True,0,0,872900
5,False,False,False,False,False,False,False,False,True,False,0,False,False,False,False,False,False,False,True,True,False,False,0,True,True,2993,True,True,True,16033,6.8,80,True,False,False,8,261.4989,19,61149,6,5,5,0,0,True,0,2,885900
2,True,False,False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,True,True,False,False,2,False,True,1968,True,True,True,16215,7.33,80,True,False,False,7,195.78892000000002,151,55000,4,5,8,0,151,False,0,0,871900
1,False,False,False,False,False,False,False,False,True,False,0,False,True,False,False,False,False,False,False,True,False,False,2,True,True,1984,True,True,True,11730,6.6,58,False,False,True,7,315.1397,152,26000,4,5,5,0,0,False,0,0,922000
4,False,False,False,False,False,False,False,False,True,False,0,False,False,False,False,False,False,False,True,False,False,True,2,True,True,2993,True,True,True,15961,7.8,85,True,False,False,8,254.79380000000003,74,81110,6,5,5,326,0,True,0,0,891900
2,False,False,False,False,False,False,False,False,False,True,0,False,False,False,False,False,False,False,True,False,False,True,2,True,True,4461,False,True,True,17106,11.9,130,True,False,False,5,202.49402,136,15000,8,5,5,0,0,True,1,0,920900
4,False,False,False,False,False,False,False,False,True,False,0,False,False,False,False,False,False,False,True,True,False,False,2,True,True,1999,True,True,True,15870,5.8,57,True,False,False,9,177.01464,79,25000,4,5,5,383,0,True,0,0,877900
2,False,False,False,False,False,False,False,False,True,False,0,False,False,False,False,False,False,False,True,True,False,False,2,True,True,2755,False,True,True,16215,7.9,150,True,False,False,6,201.15300000000002,137,71500,4,5,7,0,252,True,0,0,871900
5,False,False,False,False,False,False,False,False,True,False,0,False,True,False,False,False,False,False,False,True,False,False,2,True,True,2993,True,True,True,16215,6.8,80,True,False,False,8,261.4989,19,65000,6,5,5,129,0,True,0,0,871900
2,False,False,False,False,False,False,True,False,False,False,0,False,False,False,False,False,False,True,False,False,False,True,2,True,True,4461,False,False,False,17106,11.9,130,True,False,False,5,202.49402,135,37000,8,4,5,0,292,True,1,0,920900
4,False,False,False,False,True,False,False,False,False,False,0,True,False,False,False,False,False,False,False,True,False,False,2,True,True,1991,True,True,True,15833,8.7,56,False,False,True,8,415.7162,86,31071,4,5,5,479,479,False,0,0,850900
3,False,False,False,False,False,False,False,False,True,False,0,False,False,False,False,False,False,True,False,True,False,False,1,True,True,1995,True,True,True,15779,5.6,68,True,False,False,8,187.74280000000002,18,25000,4,5,5,707,707,True,0,2,847900
5,False,False,False,False,False,False,False,False,True,False,0,False,False,False,False,False,False,True,False,True,False,False,2,True,True,2925,False,False,False,17052,7.5,74,True,False,False,9,325.86786,96,51000,6,5,5,109,0,True,0,0,1052900
1,False,False,False,False,False,False,False,False,True,False,0,False,False,False,False,False,False,True,False,False,False,True,2,True,True,3604,True,True,True,16161,10.6,87,False,False,True,8,281.61420000000004,64,5600,6,5,7,1567,1567,True,0,0,868900
5,False,False,False,False,False,False,False,False,True,False,0,False,False,False,False,False,False,True,False,False,False,True,2,True,True,4999,False,False,True,17015,13.7,105,False,False,True,8,502.88250000000005,78,98000,8,5,5,0,0,True,0,0,951900
5,False,False,False,False,False,False,False,False,True,False,0,False,False,False,False,False,False,False,True,False,False,True,2,True,True,2996,True,False,True,16161,8.9,93,False,False,True,9,328.54990000000004,96,85000,6,5,4,0,0,True,0,0,868900
5,False,False,False,False,False,False,False,False,True,False,0,False,False,False,False,False,False,False,True,True,False,False,2,True,True,2993,False,False,True,16924,6.8,80,True,False,False,8,394.25988,19,74460,6,5,5,144,144,False,0,0,910900
4,False,False,False,False,False,False,False,False,True,False,0,False,False,False,False,False,False,False,True,False,False,True,2,True,True,2967,False,True,True,15670,7.1,90,True,False,False,8,254.79380000000003,154,70000,6,5,5,487,0,True,0,0,841900
6,False,False,False,False,False,False,False,False,True,False,0,False,False,False,False,False,False,False,True,False,False,True,2,True,True,2993,False,False,False,16870,7.8,80,True,False,False,8,254.79380000000003,78,52730,6,5,5,0,0,True,0,0,907900
3,False,False,False,False,False,False,False,False,True,False,0,False,False,False,True,False,False,False,False,True,False,False,2,True,True,2993,True,True,True,15651,6.6,68,True,False,False,8,261.4989,17,22010,6,5,5,930,930,True,0,0,897900
4,False,False,False,False,False,False,False,False,True,False,0,False,False,False,True,False,False,False,False,False,False,True,2,True,True,2967,True,True,True,16833,7.8,75,True,False,False,8,245.40666000000002,5,83514,6,5,5,0,399,True,0,0,905900
1,False,False,True,False,False,False,False,False,False,False,0,False,False,False,True,False,False,False,False,False,False,True,2,False,True,5038,True,True,True,16106,12.3,61,False,False,True,10,442.5366,32,25000,8,2,4,1766,1007,True,0,0,865900
4,False,False,False,False,False,False,False,False,True,False,0,False,False,False,False,False,False,True,False,False,False,True,0,True,True,2967,True,False,True,16106,7.8,75,True,False,False,8,245.40666000000002,5,112000,6,5,5,0,0,True,0,3,865900
1,False,False,False,False,True,False,False,False,False,False,0,True,False,False,False,False,False,False,False,True,False,False,2,True,True,1984,True,True,True,15633,8.0,55,False,False,True,7,285.63726,5,12000,4,5,5,1256,0,True,0,0,839900
5,False,False,False,False,False,False,False,False,True,False,0,False,False,False,False,False,False,False,True,False,False,True,2,True,True,2993,True,True,True,16724,7.8,86,True,False,False,8,254.79380000000003,80,84150,6,5,5,0,0,True,0,0,899900
4,False,False,False,False,False,False,False,False,True,False,0,True,False,False,False,False,False,False,False,True,False,False,0,True,True,2925,False,False,False,16724,7.5,74,True,False,False,9,325.86786,96,88000,6,5,5,0,342,True,0,0,899900
8,False,False,False,False,False,False,False,False,True,False,0,False,False,False,False,False,False,False,True,False,False,True,0,True,True,4461,True,True,True,15615,10.3,138,True,False,False,6,231.99646,135,172000,8,5,7,0,0,False,0,3,850900
6,False,False,False,False,False,False,False,False,True,False,0,False,False,False,True,False,False,False,False,False,False,True,2,True,True,2993,True,True,True,16706,6.55,66,True,False,False,9,296.36542000000003,77,45000,6,5,5,0,0,False,0,1,898900
6,False,False,False,False,False,False,False,False,True,False,0,True,False,False,False,False,False,False,False,False,False,True,2,True,True,2995,True,False,True,15597,10.5,104,False,False,True,8,335.25500000000005,78,79456,6,5,5,0,0,True,0,0,837900
5,False,False,False,False,False,False,False,True,False,False,0,False,True,False,False,False,False,False,False,True,False,False,0,True,True,2480,True,True,True,14415,8.3,55,False,False,True,7,394.25988,5,47041,5,4,5,0,0,True,0,0,772900
7,False,False,False,False,False,False,False,False,True,False,0,False,False,False,False,False,False,True,False,False,False,True,0,True,True,4461,False,False,True,16546,10.3,138,True,False,False,6,231.99646,135,200250,8,5,7,0,0,True,0,3,772000
6,False,False,False,False,False,False,False,False,True,False,0,False,False,False,False,False,False,False,True,False,False,True,0,True,True,5461,True,True,True,14397,11.8,93,False,False,True,7,576.6386,96,110000,8,5,5,0,0,True,0,0,771900
5,False,False,False,False,False,False,False,False,True,False,0,False,False,False,False,False,False,False,True,False,False,True,2,True,True,4999,True,True,True,16688,13.7,105,False,False,True,8,502.88250000000005,78,96000,8,5,5,0,0,True,0,0,897900
5,False,False,True,False,False,False,False,False,False,False,0,False,False,False,True,False,False,False,False,True,False,False,2,True,True,2925,True,False,True,15560,5.7,57,True,False,False,9,335.25500000000005,98,31000,6,4,5,5,0,True,0,0,875900
5,False,False,False,False,False,False,False,False,True,False,0,False,False,False,False,False,False,False,True,False,False,True,2,True,True,2993,True,True,True,16597,7.0,86,True,False,False,8,301.72950000000003,80,77000,6,5,5,0,0,False,0,0,892900
